סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
617019,אשבאל אלקודס,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,49,43,88%,43,88%,43,88%
746313,בית ספר עהדונא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,22,0,0%,0,0%,0,0%
118133,טור מכין לבנות,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,90,85,94%,73,81%,67,74%
118125,טור מכין לבנים,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,43,1,2%,0,0%,0,0%
338343,יסודי דאר אלאולאד,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,22,0,0%,0,0%,0,0%
160473,אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,83,54,65%,45,54%,43,52%
267930,אלמוסתקבל אלאהלייה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,29,1,3%,0,0%,0,0%
641407,אלמתנבי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,109,25,23%,24,22%,24,22%
148262,אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,52,1,2%,0,0%,0,0%
522441,אלפקיה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,66,0,0%,0,0%,0,0%
650028,אלקימה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,40,1,3%,0,0%,0,0%
440693,אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,68,0,0%,0,0%,0,0%
178137,אמירה בסמא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,39,2,5%,1,3%,0,0%
