סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
641407,אלמתנבי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,109,28,26%,28,26%,28,26%
148262,אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,52,37,71%,35,67%,34,65%
522441,אלפקיה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,66,0,0%,0,0%,0,0%
650028,אלקימה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,40,27,68%,18,45%,18,45%
440693,אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,68,0,0%,0,0%,0,0%
178137,אמירה בסמא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,39,23,59%,0,0%,0,0%
499897,"בי""ס אשרקאת אלג'ד",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,36,0,0%,0,0%,0,0%
645986,בית הספר האמריקאי יר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,14,0,0%,0,0%,0,0%
725309,בית ספר אלעמליה אלנמ,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,78,0,0%,0,0%,0,0%
729145,בית ספר דאר אלהודה אלנמודג'יה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,64,0,0%,0,0%,0,0%
338434,ברידג' אינטרנשיונל,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,16,0,0%,0,0%,0,0%
239905,ג'רוזלם סקול יסודי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,64,0,0%,0,0%,0,0%
412676,דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,55,0,0%,0,0%,0,0%
754721,דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,62,0,0%,0,0%,0,0%
718924,זו אלנוריין,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,28,0,0%,0,0%,0,0%
192997,"חט""ב עיסוויה בנים",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,153,153,100%,143,93%,143,93%
634840,חיואר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,49,47,96%,47,96%,47,96%
512343,יסודי אלמסתקבל שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,31,0,0%,0,0%,0,0%
353458,יסודי שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,45,19,42%,16,36%,16,36%
160739,מנזר רוזרי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,120,0,0%,0,0%,0,0%
148197,מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,130,114,88%,67,52%,58,45%
477901,מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,163,161,99%,32,20%,31,19%
193003,מקיף עיסוואיה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,148,133,90%,127,86%,122,82%
148247,מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,146,48,33%,48,33%,48,33%
239871,סמהר לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,106,106,100%,79,75%,79,75%
184010,פריר בית חנינא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,107,0,0%,0,0%,0,0%
641415,רוואד אלקודס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,113,113,100%,98,87%,97,86%
362046,רנסנס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,49,37,76%,32,65%,25,51%
440412,תיכון מקיף אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,93,0,0%,0,0%,0,0%
148155,תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,192,192,100%,191,99%,186,97%
118158,איבן אל-היית'ם,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ממלכתי,157,134,85%,107,68%,107,68%
